Project,Title,Description,Priority,State,Module,Labels,Estimate,Due Date,Owner,Acceptance Criteria
WIOA Assignments,Verify eligibility packet for participant A-1042,"Review ID, income, selective service if applicable, right-to-work documentation, and program eligibility notes before assignment approval.",high,Todo,Intake and Eligibility,"wioa;eligibility;case-management",3,2026-05-15,Program Coordinator,"Eligibility checklist completed; missing documents logged; participant status updated."
WIOA Assignments,Resolve missing provider confirmation for participant A-1027,"Training provider has not confirmed seat availability for the referred participant. Follow up and document response.",urgent,In Progress,Training Provider Handoffs,"wioa;partner-handoff;risk",2,2026-05-14,Partner Liaison,"Provider response captured; assignment either confirmed or alternate provider path opened."
WIOA Assignments,Complete case follow-up for participant A-1033,"Participant has not responded after assignment notification. Complete required contact attempt and update case note.",medium,Todo,Case Follow-up,"wioa;case-management",2,2026-05-16,Case Manager,"Contact attempt recorded; next action and due date documented."
WIOA Assignments,Correct duplicate assignment record for participant A-1019,"Two assignment records appear to reference the same participant and provider referral. Verify source of truth and close duplicate.",high,Todo,Intake and Eligibility,"wioa;data-quality;risk",3,2026-05-17,Program Coordinator,"Duplicate closed or merged; audit note added; reporting status no longer double-counts participant."
WIOA Assignments,Confirm transportation support requirement for participant A-1051,"Participant may need transportation support before training start date. Confirm need and document support plan.",medium,Todo,Case Follow-up,"wioa;case-management",2,2026-05-18,Case Manager,"Support requirement confirmed; plan documented; blocker removed or escalated."
WIOA Assignments,Send provider packet for participant A-1048,"Prepare and send required packet to training provider after eligibility approval.",medium,Backlog,Training Provider Handoffs,"wioa;partner-handoff",2,2026-05-20,Partner Liaison,"Packet sent; provider receipt confirmed; assignment status updated."
Engineering Delivery,Send automatic reminder when provider confirmation is missing,"Create a reminder workflow for WIOA assignments with provider handoff label and no confirmation after 48 hours.",high,Todo,Assignment Workflow Automation,"automation;partner-handoff;risk",5,2026-05-22,Engineer,"Reminder trigger defined; notification sent to owner; event logged on work item."
Engineering Delivery,Build weekly WIOA assignment status export,"Create export for pending, blocked, overdue, and completed WIOA assignment work grouped by module and owner.",high,In Progress,Reporting and Compliance,"reporting;wioa",5,2026-05-24,Data Engineer,"CSV export includes state, priority, owner, due date, labels, and module; sample report validated by program lead."
Engineering Delivery,Add eligibility checklist fields to assignment intake,"Add structured fields or template support for required eligibility packet checks.",medium,Backlog,Assignment Workflow Automation,"automation;eligibility;data-quality",8,2026-05-29,Engineer,"Checklist can be completed consistently; missing fields are visible; existing assignments are not broken."
Engineering Delivery,Create provider confirmation integration spike,"Evaluate options for provider confirmation intake by email parser, form, or API endpoint.",medium,Todo,Integrations,"partner-handoff;automation",3,2026-05-21,Engineer,"Recommendation documented; integration constraints listed; next implementation work item created."
Engineering Delivery,Add overdue assignment dashboard widget,"Surface count of overdue WIOA assignment items by owner and module.",medium,Backlog,Reporting and Compliance,"reporting;risk",5,2026-05-30,Data Engineer,"Widget shows overdue counts; filters by project/module; values match work item data."
Engineering Delivery,Normalize assignment status values for reporting,"Map Plane states into reporting-friendly status groups for WIOA program review.",low,Backlog,Reporting and Compliance,"reporting;data-quality",3,2026-05-27,Data Engineer,"Status mapping documented; export uses normalized values; edge cases reviewed."
